m,n_team,rule,seed,ok,runtime
3,2,plurality,0,False,0.00037589995190501213
3,2,plurality,1,True,0.0010501999640837312
3,2,plurality,2,False,0.0008851999882608652
3,2,plurality,3,False,0.00041280000004917383
3,2,plurality,4,True,0.0001973999897018075
3,2,plurality,5,False,0.0008836999768391252
3,2,plurality,6,False,0.00038629991468042135
3,2,plurality,7,False,0.0009255000622943044
3,2,plurality,8,False,0.0028135000029578805
3,2,plurality,9,False,0.0007350998930633068
3,2,plurality,10,False,0.0005975000094622374
3,2,plurality,11,True,0.00022169994190335274
3,2,plurality,12,False,0.001837700023315847
3,2,plurality,13,True,0.00021359999664127827
3,2,plurality,14,False,0.0004921999061480165
3,2,plurality,15,True,0.00017720006871968508
3,2,plurality,16,False,0.0009749999735504389
3,2,plurality,17,True,0.00016309996135532856
3,2,plurality,18,False,0.0004257999826222658
3,2,plurality,19,False,0.00034259993117302656
3,2,plurality,20,False,0.0005904999561607838
3,2,plurality,21,False,0.0003936999710276723
3,2,plurality,22,True,0.00026970007456839085
3,2,plurality,23,False,0.000380899989977479
3,2,plurality,24,False,0.0004368999507278204
3,2,plurality,25,False,0.0003095000283792615
3,2,plurality,26,False,0.0003504999913275242
3,2,plurality,27,False,0.0005506000015884638
3,2,plurality,28,False,0.0002533000661060214
3,2,plurality,29,False,0.00030260009225457907
3,2,plurality,30,False,0.0003272000467404723
3,2,plurality,31,False,0.0007583999540656805
3,2,plurality,32,False,0.0003667999990284443
3,2,plurality,33,False,0.00037729996256530285
3,2,plurality,34,False,0.000341600039973855
3,2,plurality,35,False,0.000569300027564168
3,2,plurality,36,False,0.0007427999516949058
3,2,plurality,37,False,0.0003372000064700842
3,2,plurality,38,False,0.00035119999665766954
3,2,plurality,39,False,0.0003837000112980604
3,2,plurality,40,True,0.00014269992243498564
3,2,plurality,41,False,0.0004471999127417803
3,2,plurality,42,False,0.000417300034314394
3,2,plurality,43,False,0.00042669998947530985
3,2,plurality,44,False,0.0007944999961182475
3,2,plurality,45,False,0.0005680000176653266
3,2,plurality,46,True,0.000354600022546947
3,2,plurality,47,False,0.001002499950118363
3,2,plurality,48,True,0.000586699927225709
3,2,plurality,49,False,0.0005466999718919396
3,2,2-approval,0,False,0.0007081000367179513
3,2,2-approval,1,True,0.0002071000635623932
3,2,2-approval,2,False,0.0012530999956652522
3,2,2-approval,3,False,0.0005315999733284116
3,2,2-approval,4,True,0.0002834000624716282
3,2,2-approval,5,True,0.00041750003583729267
3,2,2-approval,6,False,0.0003397999098524451
3,2,2-approval,7,False,0.000548299984075129
3,2,2-approval,8,False,0.0011775000020861626
3,2,2-approval,9,False,0.0006265999982133508
3,2,2-approval,10,False,0.0014446000568568707
3,2,2-approval,11,True,0.00034850009251385927
3,2,2-approval,12,False,0.00044249999336898327
3,2,2-approval,13,True,0.00043189991265535355
3,2,2-approval,14,False,0.0007162999827414751
3,2,2-approval,15,True,0.0002921998966485262
3,2,2-approval,16,False,0.0007510000141337514
3,2,2-approval,17,True,0.0009188000112771988
3,2,2-approval,18,False,0.0005658000009134412
3,2,2-approval,19,False,0.000880699953995645
3,2,2-approval,20,False,0.0025014999555423856
3,2,2-approval,21,False,0.00040220003575086594
3,2,2-approval,22,True,0.00021269998978823423
3,2,2-approval,23,False,0.0006194999441504478
3,2,2-approval,24,False,0.00039380008820444345
3,2,2-approval,25,False,0.0006016000406816602
3,2,2-approval,26,False,0.0005019999807700515
3,2,2-approval,27,False,0.0008030999451875687
3,2,2-approval,28,False,0.0005500001134350896
3,2,2-approval,29,False,0.0014001999516040087
3,2,2-approval,30,False,0.001270500011742115
3,2,2-approval,31,False,0.0006535999709740281
3,2,2-approval,32,False,0.006771099986508489
3,2,2-approval,33,False,0.0007079000351950526
3,2,2-approval,34,False,0.0006261999951675534
3,2,2-approval,35,False,0.0006987000815570354
3,2,2-approval,36,False,0.0008289999095723033
3,2,2-approval,37,False,0.0005967000033706427
3,2,2-approval,38,True,0.0002601000014692545
3,2,2-approval,39,False,0.0007266999455168843
3,2,2-approval,40,True,0.000358999939635396
3,2,2-approval,41,False,0.0018448000773787498
3,2,2-approval,42,False,0.0007658000104129314
3,2,2-approval,43,False,0.001526599982753396
3,2,2-approval,44,False,0.0006380999693647027
3,2,2-approval,45,False,0.0005263000493869185
3,2,2-approval,46,False,0.0003864000318571925
3,2,2-approval,47,False,0.0005311999702826142
3,2,2-approval,48,True,0.00021959992591291666
3,2,2-approval,49,False,0.0004455000162124634
3,2,veto,0,False,0.0004688999615609646
3,2,veto,1,True,0.0002492999192327261
3,2,veto,2,False,0.0004819999448955059
3,2,veto,3,False,0.0007151999743655324
3,2,veto,4,True,0.0002885999856516719
3,2,veto,5,True,0.00016250007320195436
3,2,veto,6,False,0.0004963999381288886
3,2,veto,7,False,0.0003451000666245818
3,2,veto,8,False,0.0010414998978376389
3,2,veto,9,False,0.00037789996713399887
3,2,veto,10,False,0.0005587000632658601
3,2,veto,11,True,0.00027650000993162394
3,2,veto,12,False,0.0005145000759512186
3,2,veto,13,True,0.00018530001398175955
3,2,veto,14,False,0.0011068000458180904
3,2,veto,15,True,0.0008819999638944864
3,2,veto,16,False,0.00104310002643615
3,2,veto,17,True,0.00020150002092123032
3,2,veto,18,False,0.000699099968187511
3,2,veto,19,False,0.0005969000048935413
3,2,veto,20,False,0.0006332999328151345
3,2,veto,21,False,0.0003760999534279108
3,2,veto,22,True,0.0012519999872893095
3,2,veto,23,False,0.0004292000085115433
3,2,veto,24,False,0.0008651000680401921
3,2,veto,25,False,0.0018453000811859965
3,2,veto,26,False,0.0003880999283865094
3,2,veto,27,False,0.0005901999538764358
3,2,veto,28,False,0.0005646999925374985
3,2,veto,29,False,0.0003720000386238098
3,2,veto,30,False,0.00040469993837177753
3,2,veto,31,False,0.0005397000350058079
3,2,veto,32,False,0.00032780005130916834
3,2,veto,33,False,0.0009568000677973032
3,2,veto,34,False,0.0005276000592857599
3,2,veto,35,False,0.0005049000028520823
3,2,veto,36,False,0.0004770000232383609
3,2,veto,37,False,0.00035740004386752844
3,2,veto,38,True,0.00018390000332146883
3,2,veto,39,False,0.0004342000465840101
3,2,veto,40,True,0.00017089990433305502
3,2,veto,41,False,0.00034440006129443645
3,2,veto,42,False,0.0005747999530285597
3,2,veto,43,False,0.0007568999426439404
3,2,veto,44,False,0.0003499999875202775
3,2,veto,45,False,0.00036830001045018435
3,2,veto,46,False,0.00021430000197142363
3,2,veto,47,False,0.00036639999598264694
3,2,veto,48,True,0.0001674999948590994
3,2,veto,49,False,0.0002071999479085207
3,2,borda,0,False,0.00034069991670548916
3,2,borda,1,True,0.00033900002017617226
3,2,borda,2,False,0.0008973999647423625
3,2,borda,3,False,0.0004833000712096691
3,2,borda,4,True,0.0004013000288978219
3,2,borda,5,False,0.00027139997109770775
3,2,borda,6,False,0.0005827000131830573
3,2,borda,7,False,0.0003578999312594533
3,2,borda,8,False,0.00043320003896951675
3,2,borda,9,False,0.0004534999607130885
3,2,borda,10,False,0.0003654999891296029
3,2,borda,11,True,0.00025319994892925024
3,2,borda,12,False,0.0003674000035971403
3,2,borda,13,True,0.00033389998134225607
3,2,borda,14,False,0.0005997000262141228
3,2,borda,15,True,0.000332099967636168
3,2,borda,16,False,0.0003431000513955951
3,2,borda,17,True,0.00017060001846402884
3,2,borda,18,False,0.0006881000008434057
3,2,borda,19,False,0.0005422000540420413
3,2,borda,20,False,0.0004240000853314996
3,2,borda,21,False,0.0010815000860020518
3,2,borda,22,True,0.00028140004724264145
3,2,borda,23,False,0.0004159000236541033
3,2,borda,24,False,0.0004254999803379178
3,2,borda,25,False,0.00038950005546212196
3,2,borda,26,False,0.0006204000674188137
3,2,borda,27,False,0.0006732000038027763
3,2,borda,28,False,0.0006914999103173614
